id,label,startedAt,endedAt,durationMs,durationHuman,directory,worktree,scope,agent,sessionID,category,changedFiles,note
d2f0cac3-927a-429e-b5b0-1068aa671c5b,docs email cleanup,2026-03-30T11:14:00.174Z,2026-03-30T11:18:34.235Z,274061,5m,/Users/abe/repos/dotfiles,/Users/abe/repos/dotfiles,.,build,ses_2c18cb93dfferRoz0KerEt2ZSq,debugging,.config/opencode/time-tracker-active.json;temp.md,just testing things
86dae04a-6c9e-46ae-92e9-c15b14b0313b,session,2026-03-30T11:21:09.693Z,2026-03-30T11:47:52.840Z,1603147,27m,/Users/abe/repos/dotfiles,/Users/abe/repos/dotfiles,.,build,ses_2c18646d4ffe5sKDEdV4Og2br5,config,.config/opencode/commands/time-start.md;.config/opencode/commands/time-status.md;.config/opencode/commands/time-stop.md;.config/opencode/commands/time-today.md;.config/opencode/commands/time-week.md;.config/opencode/commands/track.md;.config/opencode/opencode-notifier-state.json;.config/opencode/plugins/time-tracker.ts;.config/opencode/time-tracker-active.json,
